sku,category,sub_category,brand,product_name,cost_price,mrp,launch_date,is_active
SKU009527,Personal Care,Health,Steelwood,Steelwood Health Signature 571,1531.28,3418.31,2024-01-10,Y
SKU002985,Toys,Learning,Steelwood,Steelwood Learning Premium 738,385.13,696.61,2023-10-22,Y
SKU006248,,Non Fiction,Monsoon Lane,Monsoon Lane Non Fiction Premium 870,725.52,1753.35,2025-11-13,Y
SKU009933,Toys,Outdoor Play,Meraki,Meraki Outdoor Play Everyday 136,594.26,998.09,2023-01-02,Y
SKU007355,Sports,Cricket,Kavira,Kavira Cricket Essential 560,276.79,536.86,2023-06-14,Y
SKU000430,,Soft Toys,Northline,Northline Soft Toys Classic 734,348.88,810.54,2025-12-30,Y
SKU003161,Footwear,Sandals,Northline,Northline Sandals Lite 278,1176.44,2784.25,2024-07-08,Y
SKU002237,Accessories,Eyewear,Meraki,Meraki Eyewear Essential 275,818.15,1248.1,2022-02-01,Y
SKU010884,Personal Care,Grooming,Kite & Key,Kite & Key Grooming Lite 181,138.37,308.95,2024-01-23,N
SKU004112,Footwear,Sports Shoes,Saffron & Co,Saffron & Co Sports Shoes Everyday 565,312.71,717.32,2024-06-29,Y
SKU009951,,Outdoor Play,Ficus,Ficus Outdoor Play Classic 858,232.45,497.25,2025-11-14,Y
SKU005860,,Cookware,Kite & Key,Kite & Key Cookware Essential 727,401.09,861.64,2022-11-08,Y
SKU003356,Electronics,Wearables,Kavira,Kavira Wearables Pro 991,291.65,499.96,2022-01-20,Y
SKU001352,Beauty,Skincare,Meraki,Meraki Skincare Max 550,350.58,718.49,2025-12-13,Y
SKU004116,,Storage,Halcyon,Halcyon Storage Max 454,500.26,690.13,2022-11-27,Y
SKU002453,Accessories,Bags,Zenko,Zenko Bags Everyday 494,142.67,303.79,2022-12-23,Y
SKU008954,Beauty,Skincare,Auralis,Auralis Skincare Essential 341,152.77,349.89,2025-02-06,Y
SKU004834,Accessories,Watches,Halcyon,Halcyon Watches Lite 328,714.0,1551.14,2024-07-11,Y
SKU002535,Grocery,Staples,Copperfield,Copperfield Staples Max 933,737.01,1810.38,2025-11-04,Y
SKU004875,Electronics,Wearables,Meraki,Meraki Wearables Classic 397,198.69,456.02,2022-12-04,Y
SKU010475,Books,Non Fiction,Bluecrest,Bluecrest Non Fiction Pro 699,567.3,1371.02,2022-03-09,Y
SKU011195,,Non Fiction,Auralis,Auralis Non Fiction Lite 715,921.9,2366.77,2024-10-28,Y
SKU003884,Footwear,Sandals,Halcyon,Halcyon Sandals Essential 571,372.7,582.62,2025-11-09,Y
SKU005682,,Belts & Wallets,Rivet,Rivet Belts & Wallets Lite 712,382.56,727.8,2025-01-14,Y
SKU007848,,Small Appliances,Halcyon,Halcyon Small Appliances Classic 471,84.4,193.19,2024-04-04,N
SKU012216,Accessories,Watches,Monsoon Lane,Monsoon Lane Watches Lite 126,141.81,285.72,2022-06-22,Y
SKU005818,Sports,Cricket,Saffron & Co,Saffron & Co Cricket Classic 733,568.58,920.57,2023-07-09,Y
SKU004234,Accessories,Eyewear,Halcyon,Halcyon Eyewear Lite 277,524.15,954.8,2023-09-28,Y
SKU011266,Home & Kitchen,Dining,Saffron & Co,Saffron & Co Dining Pro 700,205.19,447.81,2023-09-11,Y
SKU005938,,Winter Wear,Monsoon Lane,Monsoon Lane Winter Wear Pro 324,167.34,429.74,2025-07-30,Y
SKU008123,Grocery,Snacks,Trailhead,Trailhead Snacks Lite 719,3874.99,5400.8,2024-12-01,Y
SKU005578,Grocery,Beverages,Ficus,Ficus Beverages Pro 354,578.66,864.91,2022-10-20,Y
SKU006267,Home & Kitchen,Cookware,Monsoon Lane,Monsoon Lane Cookware Max 558,172.22,372.82,2025-05-19,Y
SKU005962,Grocery,Staples,Orenda,Orenda Staples Lite 842,301.82,516.89,2023-11-10,Y
SKU010531,Furniture,Seating,Northline,Northline Seating Everyday 345,143.44,300.47,2024-02-13,Y
SKU009695,,Decor,Copperfield,Copperfield Decor Signature 545,341.15,533.83,2025-04-16,Y
SKU005099,,Outdoor Play,Monsoon Lane,Monsoon Lane Outdoor Play Lite 970,858.68,1589.56,2024-06-10,N
SKU007234,Apparel,Bottomwear,Monsoon Lane,Monsoon Lane Bottomwear Premium 147,618.45,1286.06,2023-09-06,Y
SKU000968,Beauty,Fragrance,Halcyon,Halcyon Fragrance Max 861,605.76,1220.51,2024-04-28,Y
SKU009463,,Outdoor Play,Auralis,Auralis Outdoor Play Pro 515,998.62,1607.43,2025-05-17,Y
SKU001499,Toys,Soft Toys,Nimbus,Nimbus Soft Toys Premium 339,348.32,740.23,2024-07-31,Y
SKU006631,Toys,Board Games,Copperfield,Copperfield Board Games Pro 422,108.93,257.45,2022-12-01,Y
SKU002211,Grocery,Beverages,Bluecrest,Bluecrest Beverages Lite 730,95.75,159.47,2024-12-29,Y
SKU004703,Accessories,Belts & Wallets,Ficus,Ficus Belts & Wallets Premium 100,1240.32,2712.71,2025-04-26,Y
SKU006957,Books,Children,Orenda,Orenda Children Max 343,138.84,306.22,2024-10-30,Y
SKU000361,,Makeup,Halcyon,Halcyon Makeup Premium 378,23.21,57.61,2022-07-01,Y
SKU011949,,Mobile Accessories,Verdant,Verdant Mobile Accessories Signature 793,139.19,189.18,2023-01-05,Y
SKU003786,,Watches,Meraki,Meraki Watches Max 600,562.06,826.61,2023-06-19,Y
SKU011084,Toys,Soft Toys,Meraki,Meraki Soft Toys Classic 515,465.21,781.01,2022-04-01,Y
SKU001414,Sports,Cycling,Palladio,Palladio Cycling Max 800,344.79,620.6,2024-10-06,Y
SKU007720,Beauty,Fragrance,Halcyon,Halcyon Fragrance Premium 408,1667.02,2636.23,2023-07-28,N
SKU000725,,Bags,Saffron & Co,Saffron & Co Bags Pro 360,629.18,950.03,2022-03-09,Y
SKU010019,Electronics,Small Appliances,Orenda,Orenda Small Appliances Lite 857,91.2,184.54,2025-09-25,Y
SKU008412,Furniture,Storage Units,Saffron & Co,Saffron & Co Storage Units Pro 352,39.99,89.07,2022-05-16,Y
SKU010253,Home & Kitchen,Cleaning,Auralis,Auralis Cleaning Lite 546,289.89,503.38,2023-06-20,Y
SKU005337,Books,Children,Auralis,Auralis Children Pro 695,527.16,783.67,2025-03-31,Y
SKU003777,Toys,Soft Toys,Northline,Northline Soft Toys Pro 523,693.06,1424.93,2024-04-17,Y
SKU000248,Beauty,Makeup,Auralis,Auralis Makeup Max 500,863.83,1448.87,2026-01-23,Y
SKU010993,,Cleaning,Verdant,Verdant Cleaning Everyday 354,577.29,904.39,2022-05-27,Y
SKU008694,Footwear,Sports Shoes,Auralis,Auralis Sports Shoes Premium 744,118.22,233.23,2023-02-08,Y
SKU008627,Grocery,Beverages,Monsoon Lane,Monsoon Lane Beverages Signature 194,611.1,1183.03,2025-12-29,Y
SKU000397,Electronics,Mobile Accessories,Ficus,Ficus Mobile Accessories Everyday 962,1502.62,2701.43,2022-10-21,Y
SKU010725,Footwear,Sandals,Monsoon Lane,Monsoon Lane Sandals Pro 156,297.86,745.4,2022-05-21,Y
SKU008792,Apparel,Ethnic Wear,Palladio,Palladio Ethnic Wear Everyday 745,452.2,972.66,2025-10-27,Y
SKU002302,,Fragrance,Bluecrest,Bluecrest Fragrance Premium 599,340.24,786.97,2022-09-11,Y
SKU007196,,Mobile Accessories,Steelwood,Steelwood Mobile Accessories Max 563,576.26,1436.23,2025-05-13,Y
SKU006830,Personal Care,Oral Care,Kite & Key,Kite & Key Oral Care Max 217,292.18,512.01,2024-04-26,N
SKU003834,Electronics,Wearables,Nimbus,Nimbus Wearables Signature 785,303.28,597.92,2025-02-14,Y
SKU004075,Books,Academic,Monsoon Lane,Monsoon Lane Academic Premium 158,701.21,1656.66,2023-05-10,Y
SKU008273,Personal Care,Health,Kavira,Kavira Health Everyday 681,1868.68,4148.85,2022-07-14,Y
SKU008945,Footwear,Sandals,Nimbus,Nimbus Sandals Classic 960,174.51,305.89,2024-01-31,Y
SKU002175,,Cleaning,Orenda,Orenda Cleaning Essential 304,253.0,468.57,2024-11-03,N
SKU005769,,Board Games,Auralis,Auralis Board Games Everyday 219,492.73,929.13,2022-10-05,Y
SKU009415,Apparel,Bottomwear,Meraki,Meraki Bottomwear Everyday 290,632.51,1018.81,2025-03-14,Y
SKU006033,,Decor,Zenko,Zenko Decor Lite 519,344.45,628.09,2025-10-08,Y
SKU003376,,Cycling,Auralis,Auralis Cycling Signature 303,740.76,1742.43,2025-02-05,Y
SKU008152,Books,Fiction,Urbanite,Urbanite Fiction Everyday 690,371.5,716.82,2023-01-17,Y
SKU008219,,Cookware,Auralis,Auralis Cookware Classic 545,956.6,2292.51,2022-12-21,Y
SKU000219,,Grooming,Trailhead,Trailhead Grooming Max 782,438.91,859.8,2023-10-04,Y
SKU001251,Accessories,Eyewear,Halcyon,Halcyon Eyewear Essential 118,454.35,1057.97,2024-11-19,Y
SKU007389,Home & Kitchen,Cookware,Trailhead,Trailhead Cookware Max 264,283.8,449.65,2022-05-25,Y
SKU002814,Electronics,Audio,Verdant,Verdant Audio Premium 477,184.28,443.55,2024-06-01,Y
SKU006351,Electronics,Mobile Accessories,Orenda,Orenda Mobile Accessories Premium 177,605.75,1044.51,2022-10-24,Y
SKU003106,Electronics,Audio,Kavira,Kavira Audio Classic 339,255.0,565.04,2022-04-19,Y
SKU011366,Apparel,Winter Wear,Palladio,Palladio Winter Wear Everyday 221,742.89,1459.06,2024-02-13,Y
SKU006976,Personal Care,Bath,Auralis,Auralis Bath Essential 780,607.42,978.86,2024-08-11,Y
SKU008264,,Dining,Kite & Key,Kite & Key Dining Lite 970,326.13,840.79,2022-05-25,Y
SKU002445,Furniture,Storage Units,Orenda,Orenda Storage Units Max 986,159.2,338.6,2024-07-07,Y
SKU004706,Footwear,Sandals,Meraki,Meraki Sandals Pro 491,333.04,764.69,2025-08-05,Y
SKU002465,Apparel,Winter Wear,Ficus,Ficus Winter Wear Signature 364,353.31,600.72,2025-02-15,Y
